N,M,Method,Tau,Error,Computation Time
32,3,Lanzcos,1,0.006233208269060631,0.001127147674560547
32,4,Scipy,1,0.0,0.0008301734924316406
32,4,Arnoldi,1,0.0013420866316159242,0.0012290000915527344
32,4,Lanzcos,1,0.0013420866316159173,0.001160573959350586
32,5,Scipy,1,0.0,0.0008301734924316406
32,5,Arnoldi,1,0.0002418090023080485,0.0012691497802734375
32,5,Lanzcos,1,0.0002418090023080859,0.0011715173721313476
32,6,Scipy,1,0.0,0.0008301734924316406
32,6,Arnoldi,1,3.729432819472565e-05,0.0013353347778320313
32,6,Lanzcos,1,3.7294328194745366e-05,0.0012001991271972656
32,7,Scipy,1,0.0,0.0008301734924316406
32,7,Arnoldi,1,5.014196116544183e-06,0.0014123916625976562
32,7,Lanzcos,1,5.014196116552188e-06,0.0012136936187744141
32,8,Scipy,1,0.0,0.0008301734924316406
32,8,Arnoldi,1,5.963287984057757e-07,0.0014698266983032226
32,8,Lanzcos,1,5.963287983766403e-07,0.001235651969909668
32,9,Scipy,1,0.0,0.0008301734924316406
32,9,Arnoldi,1,6.346952395855987e-08,0.0015401840209960938
32,9,Lanzcos,1,6.34695239586346e-08,0.0012464523315429688
32,10,Scipy,1,0.0,0.0008301734924316406
32,10,Arnoldi,1,6.101561543320415e-09,0.0016477584838867187
32,10,Lanzcos,1,6.101561552090885e-09,0.001259016990661621
32,11,Scipy,1,0.0,0.0008301734924316406
32,11,Arnoldi,1,5.33468154138571e-10,0.0017218589782714844
32,11,Lanzcos,1,5.334681978467197e-10,0.0012713193893432618
32,12,Scipy,1,0.0,0.0008301734924316406
32,12,Arnoldi,1,4.259641119621749e-11,0.0018042325973510742
32,12,Lanzcos,1,4.259646912199056e-11,0.0012829303741455078
32,13,Scipy,1,0.0,0.0008301734924316406
32,13,Arnoldi,1,3.104831702034235e-12,0.0019321918487548828
32,13,Lanzcos,1,3.1048041193941423e-12,0.001320219039916992
32,14,Scipy,1,0.0,0.0008301734924316406
32,14,Arnoldi,1,2.039567568427808e-13,0.002036643028259277
32,14,Lanzcos,1,2.0395387534141177e-13,0.0013355731964111329
32,15,Scipy,1,0.0,0.0008301734924316406
32,15,Arnoldi,1,1.1262404101138593e-14,0.002136635780334473
32,15,Lanzcos,1,1.1298501033957004e-14,0.0013505935668945313
32,16,Scipy,1,0.0,0.0008301734924316406
32,16,Arnoldi,1,2.6567900267388875e-16,0.0022440671920776365
32,16,Lanzcos,1,2.1876782011535153e-16,0.0013645648956298827
32,17,Scipy,1,0.0,0.0008301734924316406
32,17,Arnoldi,1,4.915362769149179e-16,0.0025857925415039063
32,17,Lanzcos,1,2.0862889719104475e-16,0.0013902902603149414
32,18,Scipy,1,0.0,0.0008301734924316406
32,18,Arnoldi,1,3.539516109334575e-16,0.00271298885345459
32,18,Lanzcos,1,2.2398766718569015e-16,0.0013966560363769531
32,19,Scipy,1,0.0,0.0008301734924316406
32,19,Arnoldi,1,4.263892432392673e-16,0.002867865562438965
32,19,Lanzcos,1,2.309724214262959e-16,0.001425933837890625
32,20,Scipy,1,0.0,0.0008301734924316406
32,20,Arnoldi,1,3.45135867536758e-16,0.0030065059661865236
32,20,Lanzcos,1,3.9104838266427664e-16,0.001432037353515625
32,21,Scipy,1,0.0,0.0008301734924316406
32,21,Arnoldi,1,2.671248854740926e-16,0.003148984909057617
32,21,Lanzcos,1,2.2824636907446024e-16,0.0015101432800292969
32,22,Scipy,1,0.0,0.0008301734924316406
32,22,Arnoldi,1,3.6887253973555445e-16,0.0032856225967407226
32,22,Lanzcos,1,3.8321294114307615e-16,0.001453733444213867
32,23,Scipy,1,0.0,0.0008301734924316406
32,23,Arnoldi,1,4.2740432289008177e-16,0.0034424781799316405
32,23,Lanzcos,1,2.129686601129833e-16,0.0014703989028930664
32,24,Scipy,1,0.0,0.0008301734924316406
32,24,Arnoldi,1,5.809640460078945e-16,0.0035902023315429687
32,24,Lanzcos,1,2.7388861117958667e-16,0.0014785051345825196
32,25,Scipy,1,0.0,0.0008301734924316406
